Trecho|tempo_inicio|tempo_fim|comeca_locutor
Outra coisa curiosa que a gente falou|00:00:00.560|00:00:01.910|True
aqui da dos times dos anos 90, esses|00:00:01.920|00:00:06.309|False
grandes times Corinthians e Palmeiras|00:00:06.319|00:00:07.909|False
que tem muita semelhança postura do|00:00:07.919|00:00:10.509|False
Brasil de 2002, os dois eram dirigidos|00:00:10.519|00:00:13.190|False
pelo Luxemburgo que trabalhou contigo|00:00:13.200|00:00:14.629|False
para caramba. Nessa época o Felipão era|00:00:14.639|00:00:17.750|False
uma um rival seu assim que|00:00:17.760|00:00:20.590|False
a ponta daquele envazamento que teve ele|00:00:20.600|00:00:22.150|True
lá no vestiário, pega esse|00:00:22.160|00:00:24.670|False
porrada no quebra ele lá. O|00:00:24.680|00:00:27.470|False
Friba,|00:00:27.480|00:00:29.029|False
chegou a imaginar quando quando o Fribon|00:00:29.039|00:00:30.870|True
assume, falou assim: "Fodeu agora Copa|00:00:30.880|00:00:32.109|False
do Mundo me babou".|00:00:32.119|00:00:32.990|False
Eu falei pro Vampeta, isso aí Vampeta,|00:00:33.000|00:00:35.430|True
fodeu, a gente não vai ser convocado.|00:00:35.440|00:00:37.069|False
Tanto que a primeira convocação não vai|00:00:37.079|00:00:38.630|False
ninguém do Corinthians.|00:00:38.640|00:00:40.229|False
Após o lance lá do Mas, mas a seleção|00:00:40.239|00:00:42.229|True
também tava mal para né? Tá.|00:00:42.239|00:00:44.190|False
E a gente era o melhor time do Brasil.|00:00:44.200|00:00:46.470|True
Ele tinha que o Felipão é malandro, pô.|00:00:46.480|00:00:48.990|False
Felipão é inteligente. Como é que você|00:00:49.000|00:00:51.110|False
vai comprar uma briga dessa? O melhor|00:00:51.120|00:00:53.670|False
time do Brasil naquele período você não|00:00:53.680|00:00:55.590|False
vai levar ninguém. Era coisa assim, eh,|00:00:55.600|00:00:59.069|False
dado. Ele ele ficava olhando|00:00:59.079|00:01:01.990|False
Vampeta, pô, isso aqui é um dado, pô.|00:01:02.000|00:01:04.030|False
Você pela pergunta objetos é da ele|00:01:04.040|00:01:08.765|False
ele não sabia. É fic e eu|00:01:08.775|00:01:10.830|False
ficava tocando cavaquinho. Um dia o|00:01:10.840|00:01:12.190|False
Felipão bateu na porta da gente, a gente|00:01:12.200|00:01:14.109|False
entra,|00:01:14.119|00:01:15.910|False
ele entrou.|00:01:15.920|00:01:16.630|False
Essa primeira convocação que vocês foram|00:01:16.640|00:01:17.789|True
com ele,|00:01:17.799|00:01:18.109|False
é nessa primeira convocação. Falou: "Ó,|00:01:18.119|00:01:20.350|True
convoquei vocês aqui por por tudo que|00:01:20.360|00:01:22.310|False
vocês fazem no|00:01:22.320|00:01:25.190|False
Corinthians. Eu quero que vocês sejam a|00:01:25.200|00:01:27.149|False
mesma coisa aqui, a mesma coisa. Eu|00:01:27.159|00:01:29.630|False
quero que vocês joguem desse jeito aí.|00:01:29.640|00:01:30.990|False
Vocês vão ser titular do meu time. A|00:01:31.000|00:01:33.749|False
gente, Treinador chegou,|00:01:33.759|00:01:36.350|False
deu a moral assim, né? Primeira|00:01:36.360|00:01:37.830|False
convocação, n vocês vão ser titular, eu|00:01:37.840|00:01:39.950|False
quero que vocês joguem do mesmo jeito|00:01:39.960|00:01:40.950|False
que vocês jogam no Corinthians. E aí e|00:01:40.960|00:01:43.270|False
comigo tá tudo certo, não tem problema|00:01:43.280|00:01:45.069|False
nenhum. Sou treinador aqui, convoquei|00:01:45.079|00:01:47.190|False
vocês pelo futebol de vocês. Tem briga,|00:01:47.200|00:01:49.789|False
não tem nada. Fechou lá, fechou. Família|00:01:49.799|00:01:52.230|False
escolar|00:01:52.240|00:01:53.961|False
é burro.|00:01:55.520|00:01:55.910|False
Surgiu aí, né?|00:01:55.920|00:01:56.429|True
Felip surgiu aí. Família escolar. Não,|00:01:56.439|00:01:58.830|True
vamos se abraçar aqui, pá. Não se aí.|00:01:58.840|00:02:01.821|False
Mas você não chegou a falar, mas você|00:02:01.920|00:02:02.870|True
mandou me bater|00:02:02.880|00:02:04.630|False
aí. Não, não. Aí não. Família escolar e|00:02:04.640|00:02:07.429|True
não sei que ele. Tome cuidado com com o|00:02:07.439|00:02:09.270|False
Antônio Lopes. O Antônio Lopes é|00:02:09.280|00:02:11.029|False
hein?|00:02:11.039|00:02:11.309|False
Quem?|00:02:11.319|00:02:12.190|True
O Felipão.|00:02:12.200|00:02:14.350|True
Felipão era sismadão com delegado.|00:02:14.360|00:02:18.589|True
Falei: "Ixe, o homem deu a letra, fica|00:02:18.599|00:02:20.670|False
ligado|00:02:20.680|00:02:21.390|False
feito".|00:02:21.400|00:02:22.670|False
Aí, pô, foi titular do jogo, ganhamos de|00:02:22.680|00:02:26.309|False
2 a 0, eu fiz um gol e tudo. Cara, eu eu|00:02:26.319|00:02:29.750|False
sou muito grato ao Felipão|00:02:29.760|00:02:32.990|False
e e isso é muito legal porque esse ranço|00:02:33.000|00:02:36.350|True
ele não teve, cara, porque tem treinador|00:02:36.360|00:02:38.830|False
que fica com ranço, né? Ah, briguei com|00:02:38.840|00:02:40.550|False
um cara lá, não vou levar ele mesmo|00:02:40.560|00:02:42.830|False
precisando aqui. Ele não, ele não teve|00:02:42.840|00:02:44.830|False
isso. Ele olhou a seleção brasileira,|00:02:44.840|00:02:47.550|False
tá? Agora perguntando para você, teve|00:02:47.560|00:02:50.509|False
isso, família escolar e fechou tudo|00:02:50.519|00:02:52.110|False
mais, mas tem uma história maravilhosa.|00:02:52.120|00:02:54.229|False
Eu queria que você confirmasse pra gente|00:02:54.239|00:02:55.990|False
um amistoso na Inglaterra, tu brigando|00:02:56.000|00:02:58.470|False
por posição ali no ataque e se eu não me|00:02:58.480|00:03:00.750|False
engano vai o França.|00:03:00.760|00:03:01.710|False
Não, não foi na Inglaterra, não. Foi|00:03:01.720|00:03:03.390|True
aqui em Cuiabá, velho.|00:03:03.400|00:03:04.750|False
Aí errei tudo.|00:03:04.760|00:03:05.509|True
Foi Cuiabá, eu corri foi Cuiabá. Foi em|00:03:05.519|00:03:08.110|True
Cuiabá contra a Islândia. Era tipo|00:03:08.120|00:03:10.869|False
assim,|00:03:10.879|00:03:11.270|False
Island, era o ano da Copa que|00:03:11.280|00:03:13.390|True
amistoso.|00:03:13.400|00:03:13.789|False
Não, cara, era o último jogo para, era o|00:03:13.799|00:03:16.509|True
último jogo amistoso paraa Copa do|00:03:16.519|00:03:18.350|False
Mundo.|00:03:18.360|00:03:19.910|False
Aí eu cheguei, fui convocado, eu,|00:03:19.920|00:03:23.110|False
França, todo mundo e Felipão tava|00:03:23.120|00:03:25.910|False
querendo fazer algumas observações.|00:03:25.920|00:03:27.949|False
convocou o Kaká, Gilberto Silva,|00:03:27.959|00:03:30.509|False
convocou todo mundo, né, para saber se|00:03:30.519|00:03:33.229|False
ele tava no caminho certo e falou assim|00:03:33.239|00:03:35.509|False
mesmo pra gente, ó,|00:03:35.519|00:03:38.350|False
quem que eh quem quem vai jogar são|00:03:38.360|00:03:43.030|False
jogadores que eu tô observando. Aqueles|00:03:43.040|00:03:45.910|False
que não que não vão jogar, tipo assim,|00:03:45.920|00:03:49.110|False
já meio que já tá garantido.|00:03:49.120|00:03:51.550|False
Ah, tá,|00:03:51.560|00:03:52.509|True
entendeu? Eu vou observar que eu tenho|00:03:52.519|00:03:54.550|True
dúvida ainda. Quem eu tenho dúvida|00:03:54.560|00:03:55.710|False
ainda, só que ele me colocou para jogar.|00:03:55.720|00:03:58.509|False
Aí eu fui lá no quarto dele,|00:03:58.519|00:04:00.229|False
fui no quarto dele, falei: "Porra,|00:04:00.239|00:04:01.509|False
Felipão, aí você tá de sacanagem|00:04:01.519|00:04:03.030|False
comigo". Ele falou: "Cara, fique|00:04:03.040|00:04:05.910|False
tranquilo, cara. Eu eu tô botando você|00:04:05.920|00:04:08.149|False
para jogar porque o o outro jogador para|00:04:08.159|00:04:11.069|False
jogar com França é é da mesma|00:04:11.079|00:04:13.429|False
característica dele. Eu tenho que botar|00:04:13.439|00:04:15.229|False
um cara, não tem ninguém aqui da sua|00:04:15.239|00:04:17.189|False
característica. Fique tranquilo que você|00:04:17.199|00:04:18.789|False
vai pra Copa do Mundo.|00:04:18.799|00:04:21.590|False
E eu todo firmado, vou nenhuma. Se|00:04:21.600|00:04:24.670|False
eu jogar mal gol Vumbo não chegar lá,|00:04:24.680|00:04:27.110|False
Edisso tá mal, tem que levar o Romário.|00:04:27.120|00:04:29.189|False
Falei, eu vou me Aonde|00:04:29.199|00:04:32.670|False
eu vou nenhuma. Felipão, não vem|00:04:32.680|00:04:34.830|False
com essa história não, viu? Essa|00:04:34.840|00:04:36.670|False
história de negócio de botar porque eu|00:04:36.680|00:04:38.430|False
já tô na Copa do Mundo, nenhuma.|00:04:38.440|00:04:40.629|False
Se eu jogar mal o último jogo, irmão,|00:04:40.639|00:04:43.150|False
imagine|00:04:43.160|00:04:44.830|True
aí todo mundo pedindo Romário. Alguém eu|00:04:44.840|00:04:48.430|False
jogo mal, não sei o quê, eu digo:|00:04:48.440|00:04:50.469|False
"Porra, que fogueira". Vampetulhou para|00:04:50.479|00:04:52.749|False
mim, se fodeu.|00:04:52.759|00:04:56.430|False
Eu digo mano. Foi|00:04:56.440|00:04:59.310|False
Felipão, você vai fazer isso comigo? Ele|00:04:59.320|00:05:00.990|False
falou: "Não, mano, eu tô fazendo, tô te|00:05:01.000|00:05:03.310|False
tô te garantindo. Eu vou fazer, eu vou|00:05:03.320|00:05:05.430|False
botar você, porque eu tô observando o|00:05:05.440|00:05:07.390|False
França."|00:05:07.400|00:05:09.189|False
Falei: "Caralho, meia bola pro|00:05:09.199|00:05:11.029|False
França. França faz três gols, mano. O|00:05:11.039|00:05:13.430|False
França era fazia gol de tudo que é|00:05:13.440|00:05:15.110|False
jeito. Se você desse uma bola para ele,|00:05:15.120|00:05:16.950|False
ele fazia três gols. Em uma bola.|00:05:16.960|00:05:18.323|False
Em uma bola ele fazia três gols.|00:05:18.960|00:05:20.670|False
É bom. Falei: "Caralho, mano, eu|00:05:20.680|00:05:23.749|True
e França o ataque Kaká, Gilberto Silva,|00:05:23.759|00:05:29.390|False
foi um uma|00:05:29.400|00:05:31.230|False
todo mundo aí do França."|00:05:31.240|00:05:33.029|True
Aí eu falei, "Porra, vou vou conversar|00:05:33.039|00:05:36.430|True
com França". Aí chamei França lá no|00:05:36.440|00:05:39.150|False
quarto, falei: "Porra, bora, ó, velho,|00:05:39.160|00:05:42.070|False
vamos jogar no ataque|00:05:42.080|00:05:44.590|False
nós dois". Eu acho que a gente tem|00:05:44.600|00:05:46.430|False
grande chance para ir pra Copa do Mundo,|00:05:46.440|00:05:48.230|False
meu irmão. Hoje é o jogo nosso. A gente|00:05:48.240|00:05:50.790|False
tem que tocar uma bola pro outro. Quando|00:05:50.800|00:05:53.230|False
eu for eu vou te procurar,|00:05:53.240|00:05:56.309|False
Contando uma historinha da Carochinha.|00:05:56.319|00:05:58.279|False
Eu falei: "Cara, o França não fala|00:05:59.440|00:06:00.909|True
comigo até hoje,|00:06:00.919|00:06:03.629|False
né? Não, Acha,|00:06:03.639|00:06:05.950|False
pô, não foi uma trairade, né? Não foi|00:06:05.960|00:06:07.990|True
uma trairade, foi aí,|00:06:08.000|00:06:12.270|False
França fazendo gol para|00:06:13.199|00:06:14.830|False
Romários na cabeça da gente,|00:06:14.840|00:06:17.670|False
rapaz. Aí começou o jogo, pá, pá. Ó,|00:06:17.680|00:06:21.150|False
toda a bola vou meter em você. Peguei um|00:06:21.160|00:06:23.670|False
cara, velho, um lateral, jogava mais|00:06:23.680|00:06:26.950|False
pelo lado direito, pegou um lateral|00:06:26.960|00:06:28.510|False
esquerdo, o irlandês, sei lá, mano. O|00:06:28.520|00:06:32.390|False
cara não sabia nem para onde ia, mano.|00:06:32.400|00:06:34.150|False
Mas eu dava cada driva,|00:06:34.160|00:06:37.309|False
driblava. O cara olhava na dentro da|00:06:37.319|00:06:40.309|False
área, eu combinei com França.|00:06:40.319|00:06:42.350|False
França vai no primeiro pau todas as|00:06:42.360|00:06:44.589|False
bolas, não vá pro segundo pau não,|00:06:44.599|00:06:47.189|False
Aí a primeira eu bati, bati a|00:06:47.199|00:06:50.589|False
foi lá no segundo pau, no|00:06:50.599|00:06:52.029|False
terceiro pau. Ele, cadê, velho?|00:06:52.039|00:06:54.749|False
Eu falei: "Porra, foi mal, bati forte a|00:06:54.759|00:06:57.589|False
academia, fiz academia, a perna tá forte|00:06:57.599|00:06:59.869|False
pra foi mal, porra". Pô, a|00:06:59.879|00:07:03.710|False
segunda fui pá, meti lá de novo. Ele|00:07:03.720|00:07:07.230|False
velho, cadê velho? Eu falei,|00:07:07.240|00:07:08.790|False
velho, tá O pé tá|00:07:08.800|00:07:10.469|False
desquilitado, de como é que|00:07:10.479|00:07:12.390|False
descalibrado.|00:07:12.400|00:07:13.110|True
Descalibrado.|00:07:13.120|00:07:15.150|True
Aí, foram na linha de fundo,|00:07:15.160|00:07:17.110|True
cruzaram para mim. Eu subi 1 a 0.|00:07:17.120|00:07:20.629|False
Tu fez 1 a 0?|00:07:20.639|00:07:21.390|True
Eu lembro desse gol, cara. De cabeça,|00:07:21.400|00:07:23.189|True
cara. cabeça. Eu falei agora que ele não|00:07:23.199|00:07:25.830|False
vai pegar na bola mesmo.|00:07:25.840|00:07:28.950|False
Eu falando para mim,|00:07:28.960|00:07:32.749|False
já fiz o meu,|00:07:32.759|00:07:34.629|False
né? Hoje, hoje eu não faria isso|00:07:34.639|00:07:36.710|True
não. Hoje eu não faria isando.|00:07:36.720|00:07:39.469|False
França, França, me desculpe, velho. Me|00:07:39.479|00:07:41.589|True
desculpe.|00:07:41.599|00:07:42.350|False
Foi um, Foi foi só aquele dia. Foi só,|00:07:42.360|00:07:46.749|False
foi só aquele dia. Aí, deu|00:07:46.759|00:07:49.630|False
20 minutos do segundo tempo,|00:07:49.640|00:07:51.550|False
aí sai França. Aí, Vampeta, olha para|00:07:51.560|00:07:54.550|False
mim. Você é desgraçado.|00:07:54.560|00:07:56.909|False
Afundou,|00:07:56.919|00:07:57.350|False
não sei o quê, afundou o cara, não sei o|00:07:57.360|00:07:59.189|True
qu. Aí, beleza. Aí eu fui no avião, né?|00:07:59.199|00:08:02.430|False
Ganhamos de 5 a pô. O França puto|00:08:02.440|00:08:05.510|False
comigo, pá, não sei quê. E eu aqui no|00:08:05.520|00:08:07.830|False
avião, né? Eu pequenininho, ninguém me|00:08:07.840|00:08:09.869|False
via. Aí eu|00:08:09.879|00:08:11.950|False
aqui falando, fazendo qualquer|00:08:11.960|00:08:15.149|False
para ninguém me ver mesmo, né? Falei:|00:08:15.159|00:08:17.309|False
"Ó, daqui a pouco o cara se|00:08:17.319|00:08:19.710|False
invoca aí comigo." Aí o França de|00:08:19.720|00:08:22.309|False
Carafeu, o Vampeta, vai lá. E aí o nome|00:08:22.319|00:08:25.149|False
dele é|00:08:25.159|00:08:27.390|False
um nome diferente. Levogildo,|00:08:27.400|00:08:30.895|False
a assim é|00:08:31.680|00:08:33.630|True
é uma assim. Françona|00:08:33.640|00:08:36.110|True
não, não. Vou vou pegar o nome do|00:08:36.120|00:08:38.070|True
França, né?|00:08:38.080|00:08:38.469|False
É o nome Franço né?|00:08:38.479|00:08:41.110|True
É. Aí|00:08:41.120|00:08:43.909|True
Vampeta chama todo mundo pelo nome aí. E|00:08:43.919|00:08:45.990|False
aí, Franço? tá de cara feia.|00:08:46.000|00:08:48.269|False
Ganhamos um jogo de 5 a1, Não sei|00:08:48.279|00:08:50.310|False
aquele Vampeta, seu parceiro|00:08:50.320|00:08:53.190|False
ali, seu irmão é um trairado do|00:08:53.200|00:08:56.310|False
Vampeta quem, rapaz? seu irmão|00:08:56.320|00:08:59.069|False
ali, o Edilson combinou comigo. Todas as|00:08:59.079|00:09:01.509|False
bolas que ia dar em mim, eu dei todas as|00:09:01.519|00:09:03.230|False
bolas para ele, Ele toda a bola|00:09:03.240|00:09:04.910|False
ele cruzou no segundo pau, combinou|00:09:04.920|00:09:06.389|False
comigo no primeiro pau, que não sei o|00:09:06.399|00:09:07.870|False
quê. Falei, o Vampeta escroto para|00:09:07.880|00:09:10.550|False
você é um otário do|00:09:10.560|00:09:12.630|False
cara. Você vai acreditar no baiano ali e|00:09:12.640|00:09:15.030|False
eu aqui todo encolhido, todo encolhido|00:09:15.040|00:09:17.949|False
para ninguém me ver. Aí o Vampeta para|00:09:17.959|00:09:20.470|False
botar pira. Ô Capeti, ô parceiro, mano.|00:09:20.480|00:09:24.310|False
chega aí, ô Vampeta. Para com|00:09:24.320|00:09:26.590|False
essa brincadeira. Eu|00:09:26.600|00:09:28.470|False
eu sabendo já de tudo, né, que ele tava|00:09:28.480|00:09:30.350|False
fazendo. Pare com essa brincadeira,|00:09:30.360|00:09:32.389|False
Boa. Não, isso não existe não,|00:09:32.399|00:09:34.069|False
pô. E eu não saí do lugar. Ele, ele e|00:09:34.079|00:09:36.910|False
ele pro França. França, você é um|00:09:36.920|00:09:38.949|False
otário. Você é um bambalho.|00:09:38.959|00:09:40.990|False
Você vai acreditar no que o Edilson|00:09:41.000|00:09:42.630|False
fala? Você acha que Edilson vai passar a|00:09:42.640|00:09:44.150|False
bola para você? Se você ir pra Copa do|00:09:44.160|00:09:46.269|False
Mundo e ele ficar aí,|00:09:46.279|00:09:49.750|False
