Trecho|tempo_inicio|tempo_fim|comeca_locutor
e mais são os acha que a imagem do|00:00:00.000|00:00:02.570|True
Senhor na rua é mais atrelada o que a|00:00:02.580|00:00:04.789|False
policial ou talvez a rede Globo a|00:00:04.799|00:00:07.010|False
polícia tem a da caveira tatuada|00:00:07.020|00:00:09.379|False
no braço também não tô aqui esperando o|00:00:09.389|00:00:11.360|False
filme também isso acontecer um dia|00:00:11.370|00:00:14.770|False
não tem um cálculo da pensão do Bruno|00:00:14.780|00:00:18.529|False
gente boa pra caveira também esse|00:00:18.539|00:00:21.260|False
cara valeu meu brother você viu o 12º|00:00:21.270|00:00:23.390|False
Batalhão é a gente montou uma operação|00:00:23.400|00:00:26.480|False
no Falé a noite paz ano também não|00:00:26.490|00:00:29.000|False
metade daqui paisana metade fardado aí|00:00:29.010|00:00:32.269|False
prendemos um bandido não falei nome do|00:00:32.279|00:00:34.580|False
pedido amendoim né você pega o bandido|00:00:34.590|00:00:38.869|False
talvez com fuzil também em alguma coisa|00:00:38.879|00:00:42.290|False
de cocaína e tal|00:00:42.300|00:00:44.860|False
e o bandido falou com tu tem uma tem um|00:00:44.870|00:00:47.389|False
um negócio para você aí tá tem uma uma|00:00:47.399|00:00:50.090|False
uma um dinheiro aí se você me soltar e|00:00:50.100|00:00:52.130|False
tal e naquela época nós temos uma mania|00:00:52.140|00:00:54.889|False
e hoje eu não faria mais|00:00:54.899|00:00:56.380|False
de mandar viu o dinheiro e levar o|00:00:56.390|00:01:00.079|False
advogado para cadeia com dinheiro né ou|00:01:00.089|00:01:03.140|False
não faria mais isso hoje mas não é pra|00:01:03.150|00:01:04.910|False
gente fazer muito isso aí ligamos para|00:01:04.920|00:01:06.649|False
nosso Comandante Comandante pegamos uma|00:01:06.659|00:01:09.230|False
cabeça aqui não falei amendoim é cabeça|00:01:09.240|00:01:12.140|False
mesmo tá de fuzil e ele mandou vir aí r$|00:01:12.150|00:01:15.249|False
10000 15.000 a gente vai prender o|00:01:15.259|00:01:17.480|False
advogado eu vou mandar ele falou assim|00:01:17.490|00:01:19.400|False
que pode tocar essa né não|00:01:19.410|00:01:22.370|False
vai advogado nenhuma veio uma|00:01:22.380|00:01:23.630|False
mulher meu irmão cheia de filho de mão|00:01:23.640|00:01:25.370|False
dada assim sabe os meninos tudo quando a|00:01:25.380|00:01:27.050|False
gente correndo tudo barrigudinho de|00:01:27.060|00:01:28.669|False
verme tá aí a mulher veio com o saco|00:01:28.679|00:01:31.249|False
cheio de dinheiro sujo prendendo maconha|00:01:31.259|00:01:33.440|False
o dinheiro aí a mulher falou moço Meu|00:01:33.450|00:01:36.529|False
marido tá preso aí aí mandava trazer um|00:01:36.539|00:01:38.600|False
dinheiro para o senhor aí para soltar|00:01:38.610|00:01:39.800|False
ele né a pouco eu ligo o dinheiro mano|00:01:39.810|00:01:42.270|False
eu não tinha nem 3 milhões aquela pôrra|00:01:42.280|00:01:44.100|False
lá na merda dinheiro de maconha E aí eu|00:01:44.110|00:01:47.580|False
falei moça Olha só sobre com esse|00:01:47.590|00:01:49.350|False
dinheiro daqui E por que tu vai levar|00:01:49.360|00:01:52.560|False
teu marido curioso eu achei que|00:01:52.570|00:01:54.360|False
tivesse mais né eu achei que tivesse um|00:01:54.370|00:01:55.890|False
advogado com 50 pau a gente vai levar o|00:01:55.900|00:01:58.590|False
carro para Mazda 3 mil levo essa|00:01:58.600|00:02:00.390|False
embora aí liguei para o comandante foi|00:02:00.400|00:02:02.880|False
Comandante o dinheiro velho mas eu|00:02:02.890|00:02:04.260|False
mandar uma mulher embora com o dinheiro|00:02:04.270|00:02:05.190|False
tudo aí procurar ficou pronto para a|00:02:05.200|00:02:07.290|False
filha da Já falei para o interior|00:02:07.300|00:02:09.330|False
que o dinheiro vir aqui não sei que vão|00:02:09.340|00:02:10.770|False
prender aquela porta já mandou ele|00:02:10.780|00:02:12.810|False
embora|00:02:12.820|00:02:13.920|False
o meu marido ficou olhando para|00:02:13.930|00:02:15.449|False
exposição liberar minha mulher com|00:02:15.459|00:02:16.589|False
dinheiro vamos liberar trabalhadeira|00:02:16.599|00:02:17.959|False
estamos Olha como mundo é bom|00:02:17.969|00:02:20.570|False
E aí passava aí os três anos eu tô na|00:02:20.580|00:02:23.390|False
praia tô no posto 12 de um posto que só|00:02:23.400|00:02:28.130|False
fica moradora do Vidigal Ah não é um|00:02:28.140|00:02:32.270|False
