Trecho|tempo_inicio|tempo_fim|comeca_locutor
Nessas andanças pelo estado de Goiás,|00:00:00.840|00:00:03.270|True
conhecendo o trabalho dos times|00:00:03.280|00:00:05.349|False
participantes, estamos enfrentando|00:00:05.359|00:00:08.030|False
desafios. Nesse período chuvoso, a|00:00:08.040|00:00:10.709|False
tensão precisa ser redobrada nas|00:00:10.719|00:00:12.629|False
estradas, mas também estamos enfrentando|00:00:12.639|00:00:15.789|False
prazeres bem conhecidos de Goiás.|00:00:15.799|00:00:22.710|False
Na região Sudeste temos dois|00:00:22.720|00:00:24.990|False
participantes do Goianão 2026. Vamos|00:00:25.000|00:00:27.910|False
começar pelo mais jovem, com apenas 10|00:00:27.920|00:00:30.429|False
anos de fundação.|00:00:30.439|00:00:34.549|False
Ouvidor fica 15 km de Catalão, tem 7700|00:00:34.559|00:00:38.670|False
habitantes, segundo o IBGE, e pelo|00:00:38.680|00:00:41.069|False
segundo ano seguido estará|00:00:41.079|00:00:43.029|False
presente na elite do Goianão. O pontapé|00:00:43.039|00:00:45.910|False
do Campeonato Goiano 2026 será dado aqui|00:00:45.920|00:00:50.110|False
no Estádio Luís Benedito, na cidade de|00:00:50.120|00:00:52.470|False
Ouvidor. Estádio esse que tem a|00:00:52.480|00:00:54.229|False
capacidade para 1900 torcedores nesse|00:00:54.239|00:00:58.110|False
sábado, às 4 horas da tarde na tela da|00:00:58.120|00:01:00.790|False
TV Brasil Central para o mundo inteiro|00:01:00.800|00:01:03.709|False
pela internet. A Becate, que é o|00:01:03.719|00:01:06.710|False
caçulinha do Campeonato Goiano. Se no|00:01:06.720|00:01:09.070|False
ano passado terminaram o incesto e|00:01:09.080|00:01:10.830|False
conquistaram uma vaga no Campeonato|00:01:10.840|00:01:12.550|False
Brasileiro da Série D, esse ano o|00:01:12.560|00:01:14.469|False
objetivo é mais alto ainda, terminar|00:01:14.479|00:01:16.710|False
entre os quatro e ir pra Copa do Brasil|00:01:16.720|00:01:19.469|False
202. Esse ano aí 2025 passou, nós|00:01:19.479|00:01:22.270|False
conseguimos aí fazer um belo campeonato,|00:01:22.280|00:01:24.310|False
conseguimos aí a vaga série D e agora em|00:01:24.320|00:01:26.990|False
2026 nós planejamos para repetir esse|00:01:27.000|00:01:28.789|False
campeonato e queremos também beliscar|00:01:28.799|00:01:30.710|False
uma vaga na Copa do Brasil. Sonhar é|00:01:30.720|00:01:32.469|False
possível, né? trabalhar para que a gente|00:01:32.479|00:01:34.190|False
possa realizar, respeitando todos os|00:01:34.200|00:01:36.109|False
