Trecho|tempo_inicio|tempo_fim|comeca_locutor
Eu tenho a impressão que se você fizer|00:00:00.000|00:00:02.310|True
uma autoanálise do que acontece com as|00:00:02.320|00:00:04.870|False
tuas emoções ao longo do dia, você já|00:00:04.880|00:00:07.670|False
deve ter se dado conta que tem horas que|00:00:07.680|00:00:09.589|False
você tá do você tá voando|00:00:09.599|00:00:11.390|False
baixo, você tá focado, produtivo,|00:00:11.400|00:00:13.629|False
antenado, ligado, energizado, você tá|00:00:13.639|00:00:16.590|False
muito bem. E tem horas, pelo contrário,|00:00:16.600|00:00:19.150|False
que você tá borocochô, tá indisposto, tá|00:00:19.160|00:00:21.990|False
doente. Então, de duas coisas você já se|00:00:22.000|00:00:25.189|False
deu conta. A primeira, tem uma energia|00:00:25.199|00:00:28.509|False
que te anima. A segunda, essa energia|00:00:28.519|00:00:32.430|False
oscila. Muito bem. Essa energia cada|00:00:32.440|00:00:36.430|False
pensador chama de um jeito. Lá entre os|00:00:36.440|00:00:39.830|False
romanos, o primeiro a falar dessa|00:00:39.840|00:00:42.709|False
energia vital é Lucrécio em Derrerum|00:00:42.719|00:00:46.229|False
Natura. E nessa poesia deeron natura,|00:00:46.239|00:00:49.670|False
Lucrécio chama essa energia de|00:00:49.680|00:00:51.830|False
cleanamen. Cleinamen. Hobes, no Leviatã,|00:00:51.840|00:00:55.189|False
já em 1600, chama essa energia de|00:00:55.199|00:00:58.150|False
conatos.|00:00:58.160|00:01:00.270|False
Niet de vontade de potência. Chopenhauer|00:01:00.280|00:01:04.270|False
só de vontade. Freud de libido. Berkson|00:01:04.280|00:01:08.670|False
de Elan Vital|00:01:08.680|00:01:11.910|False
Cloves. Sou|00:01:11.920|00:01:14.670|False
eu de tesão pela vida. Energia que te|00:01:14.680|00:01:19.030|False
anima e que|00:01:19.040|00:01:20.950|False
oscila. Claro que oscila.|00:01:20.960|00:01:23.950|False
E Espinosa, o autor da definição de|00:01:23.960|00:01:26.230|False
alegria, chama essa energia de potência|00:01:26.240|00:01:30.310|False
de agir. Não esqueça mais, potência de|00:01:30.320|00:01:33.950|False
agir. O que de mais importante há em|00:01:33.960|00:01:37.149|False
você? Potência de agir. E é claro,|00:01:37.159|00:01:40.510|False
alegria é a passagem para um estado mais|00:01:40.520|00:01:43.590|False
potente do próprio ser. Eu quando acordo|00:01:43.600|00:01:46.550|False
5 da manhã, acordo muito|00:01:46.560|00:01:48.910|False
mal. É um esforço imenso sair da cama.|00:01:48.920|00:01:51.870|False
Tem gente que já acorda cantando.|00:01:51.880|00:01:53.950|False
Costumo dizer que são pessoas demoníacas|00:01:53.960|00:01:55.950|False
e é preciso se livrar delas. Uma pessoa|00:01:55.960|00:01:58.870|False
normal não pode acordar cantando. Se|00:01:58.880|00:02:01.429|False
alguém acorda cantando do teu lado, ela|00:02:01.439|00:02:03.550|False
está sendo conduzida por forças negras|00:02:03.560|00:02:06.190|False
do mal,|00:02:06.200|00:02:07.550|False
terríveis. Eu me sento na cama, vou até|00:02:07.560|00:02:10.990|False
o banheiro, sento no vaso, esforço|00:02:11.000|00:02:15.070|False
supremo, tomo uma ducha, já me sinto um|00:02:15.080|00:02:17.750|False
pouco mais|00:02:17.760|00:02:19.390|False
desperto. Aí eu me visto, tomo um café,|00:02:19.400|00:02:21.869|False
já tô um pouco melhor, saio 6:30 de|00:02:21.879|00:02:24.350|False
casa. Então eu me sinto bem saindo e|00:02:24.360|00:02:27.229|False
vendo a Avenida de Genópolis, por onde|00:02:27.239|00:02:29.229|False
eu passo. Eu gosto dali, não saio dali|00:02:29.239|00:02:31.470|False
nunca mais. E aí é esse o problema. Eu|00:02:31.480|00:02:33.470|False
me sinto bem ali e não tem trânsito|00:02:33.480|00:02:35.270|False
6:30. Aí eu desço, passo pelo Paquembu,|00:02:35.280|00:02:38.070|False
subo ali por trás, cemitério, Vila|00:02:38.080|00:02:40.149|False
Madalena, Praça|00:02:40.159|00:02:41.710|False
Pan-Americana, né? Isso foi um caminho|00:02:41.720|00:02:43.949|False
que eu aprendi faz uns anos aí por|00:02:43.959|00:02:46.030|False
dentro da Vila Madalena. Nunca mais|00:02:46.040|00:02:48.070|False
esqueci nem do caminho, nem de quem me|00:02:48.080|00:02:49.990|False
ensinou o caminho, mas eu chego na|00:02:50.000|00:02:51.670|False
cidade universitária e é show de bola.|00:02:51.680|00:02:53.869|False
Grandes áreas verdes, grandes espaços|00:02:53.879|00:02:55.910|False
vazios. 7:30 começam a chegar os alunos|00:02:55.920|00:02:58.589|False
e eu começo a falar. E eu vou lhes dizer|00:02:58.599|00:03:00.910|False
uma coisa. Eu adoro a minha aula. Eu|00:03:00.920|00:03:03.030|False
adoro o que eu digo, eu adoro me|00:03:03.040|00:03:05.070|False
escutar. É impressionante como eu me|00:03:05.080|00:03:07.589|False
encanto com o que eu mesmo falo. É|00:03:07.599|00:03:10.030|False
impressionante como eu entendo|00:03:10.040|00:03:11.789|False
claramente quando eu mesmo explico, né?|00:03:11.799|00:03:14.910|False
É impressionante como eu me infado|00:03:14.920|00:03:16.869|False
quando os outros falam. É impressionante|00:03:16.879|00:03:19.430|False
como é assim, alguém dirá: "Você é|00:03:19.440|00:03:21.789|False
insuportavelmente arrogante". É possível|00:03:21.799|00:03:24.350|False
que você tenha|00:03:24.360|00:03:26.030|False
razão, mas que fique claro. Não sei se|00:03:26.040|00:03:30.429|False
você já se deu conta, mas você vai ter|00:03:30.439|00:03:33.110|False
que se aguentar até o fim. Você será|00:03:33.120|00:03:36.270|False
espectador de você mesmo. Você vai ser|00:03:36.280|00:03:39.350|False
observador das próprias condutas até|00:03:39.360|00:03:41.869|False
morrer. É bem mais legal se você se|00:03:41.879|00:03:44.789|False
encantar com você mesmo. Porque se você|00:03:44.799|00:03:47.910|False
se você conseguir se encantar com você|00:03:47.920|00:03:50.390|False
mesmo, aonde quer que você esteja, você|00:03:50.400|00:03:53.550|False
consegue se|00:03:53.560|00:03:55.470|False
encantar. É só você falar para você,|00:03:55.480|00:04:01.750|False
sabe? É fácil. Você tá, vamos imaginar|00:04:01.760|00:04:04.789|False
que você esteja no aeroporto Santos do|00:04:04.799|00:04:07.229|False
Mão esperando para pegar o avião|00:04:07.239|00:04:09.350|False
sozinho, você na medonha, né? Não sabe|00:04:09.360|00:04:12.390|False
se vai chover, se não vai chover, etc,|00:04:12.400|00:04:14.750|False
etc, etc. Se você precisa para se|00:04:14.760|00:04:17.349|False
alegrar de uma champanhe clicou 68 rosé|00:04:17.359|00:04:21.509|False
servida por não sei quem, etc e, tal,|00:04:21.519|00:04:23.510|False
você tá não vai ter isso ali.|00:04:23.520|00:04:26.710|False
Mas se você começar a falar com você|00:04:26.720|00:04:29.150|False
mesmo e você começar a rir, viu, você|00:04:29.160|00:04:32.150|False
tem uma vida melhor nos lugares mais|00:04:32.160|00:04:34.510|False
improváveis. Então, encante-se com você.|00:04:34.520|00:04:37.390|False
Você é encantador. Eu tenho certeza|00:04:37.400|00:04:39.950|False
disso, professor. Eu não acho nenhuma|00:04:39.960|00:04:42.029|False
graça no que eu faço. Troque do que você|00:04:42.039|00:04:44.390|False
faz. Vá fazer outra coisa, porque sempre|00:04:44.400|00:04:47.310|False
haverá aquilo que seja objeto do teu|00:04:47.320|00:04:50.310|False
encantamento em você mesmo. E aí, e aí é|00:04:50.320|00:04:54.070|False
bem legal. Às 10 horas da manhã eu tô em|00:04:54.080|00:04:56.270|False
cima da mesa gritando e você perguntará:|00:04:56.280|00:04:58.790|False
"O que aconteceu entre 5 e 10 da manhã?"|00:04:58.800|00:05:01.870|False
Resposta: alegria. Passagem para um|00:05:01.880|00:05:04.830|False
espaço, para um estado mais potente do|00:05:04.840|00:05:08.150|False
próprio ser. E por que que eu digo do|00:05:08.160|00:05:09.950|False
próprio ser? Por que Espinosa diz do|00:05:09.960|00:05:13.189|False
próprio ser? simplesmente porque não|00:05:13.199|00:05:15.590|False
serve para todo mundo, simplesmente|00:05:15.600|00:05:17.350|False
porque não é uma lição de autoajuda,|00:05:17.360|00:05:19.830|False
simplesmente porque é só um|00:05:19.840|00:05:25.670|False
exempamento existencial, não é medida|00:05:25.680|00:05:28.790|False
certa,|00:05:28.800|00:05:30.150|False
fantástica, não é dietética exuberante|00:05:30.160|00:05:33.390|False
que garante a alegria de qualquer um.|00:05:33.400|00:05:35.350|False
Não é minha alegria, professor, mas eu|00:05:35.360|00:05:39.670|False
não sei você, não conheço você. Vá|00:05:39.680|00:05:42.870|False
procurar sua alegria em outro canto.|00:05:42.880|00:05:45.830|False
Essa é só a minha alegria porque é do|00:05:45.840|00:05:48.749|False
próprio ser. Professor, o senhor não tem|00:05:48.759|00:05:51.150|False
um jeito de viver que possa alegrar todo|00:05:51.160|00:05:53.590|False
mundo? Não.|00:05:53.600|00:05:55.749|False
Pare para pensar.|00:05:55.759|00:05:57.990|False
Se fosse|00:05:58.000|00:05:59.469|False
verdade que um jeito de viver traria|00:05:59.479|00:06:03.189|False
felicidade para qualquer um,|00:06:03.199|00:06:04.830|False
independentemente do vivente e de sua|00:06:04.840|00:06:08.749|False
especificidade, se isso fosse possível,|00:06:08.759|00:06:11.870|False
todos nós já viveríamos do mesmo|00:06:11.880|00:06:15.189|False
jeito. Todos nós já teríamos as mesmas|00:06:15.199|00:06:18.990|False
condutas. Todos nós já adotaríamos as|00:06:19.000|00:06:21.990|False
mesmas estratégias.|00:06:22.000|00:06:24.189|False
Todos nós já teríamos sido|00:06:24.199|00:06:26.110|False
definitivamente padronizados pela medida|00:06:26.120|00:06:29.589|False
certa, mas felizmente ainda há um átimo|00:06:29.599|00:06:33.670|False
de lucidez para perceber que o que|00:06:33.680|00:06:36.350|False
alegra um não alegra necessariamente|00:06:36.360|00:06:38.710|False
outro, que as fórmulas não funcionam|00:06:38.720|00:06:42.390|False
universalmente e que, portanto, você|00:06:42.400|00:06:44.550|False
ainda continua livre para encontrar um|00:06:44.560|00:06:46.589|False
caminho que ninguém tenha pensado ainda.|00:06:46.599|00:06:50.150|False
Felizmente, porque as fórmulas não|00:06:50.160|00:06:52.230|False
funcionam, continuamos estimulados e|00:06:52.240|00:06:55.350|False
autorizados a procurar o nosso próprio|00:06:55.360|00:06:57.670|False
caminho|00:06:57.680|00:06:59.430|False
