Trecho|tempo_inicio|tempo_fim|comeca_locutor
Aquele abraço a você que tá aqui no|00:00:00.320|00:00:02.070|True
canal do YouTube da Pand News Goiânia,|00:00:02.080|00:00:04.150|False
acompanhando todos os nossos conteúdos e|00:00:04.160|00:00:06.670|False
também até a nossa programação ao vivo.|00:00:06.680|00:00:09.230|False
Eu sou o Igor Santiago, a sua fonte de|00:00:09.240|00:00:11.629|False
informações do Vila Nova, chegando aqui|00:00:11.639|00:00:13.749|False
para trazer um conteúdo um pouco|00:00:13.759|00:00:15.990|False
diferente. Já chega aí deixando o seu|00:00:16.000|00:00:18.429|False
like, compartilhando esse vídeo e se|00:00:18.439|00:00:20.790|False
inscrevendo no nosso canal. Estamos|00:00:20.800|00:00:22.550|False
quase batendo a marca de 64.000 1000|00:00:22.560|00:00:25.429|False
inscritos. E hoje a Band News Goiânia|00:00:25.439|00:00:27.910|False
completa 6 anos de existência, 6 anos de|00:00:27.920|00:00:31.349|False
muita história, de liderança máxima no|00:00:31.359|00:00:34.590|False
esporte em Goiás. Então já chega aí|00:00:34.600|00:00:37.190|False
fazendo todo esse movimento, curtindo,|00:00:37.200|00:00:39.389|False
compartilhando e se inscrevendo no nosso|00:00:39.399|00:00:41.350|False
canal que eu já chego aqui com um|00:00:41.360|00:00:42.990|False
assunto bombástico pra gente falar sobre|00:00:43.000|00:00:45.630|False
o Vila Nova. E é o seguinte, galera, é|00:00:45.640|00:00:48.510|False
às vezes o torcedor vilovense ele cobra|00:00:48.520|00:00:51.510|False
um pouco demais. o torcedor do Vila, ele|00:00:51.520|00:00:54.069|False
é um torcedor muito apaixonado, tá|00:00:54.079|00:00:56.310|False
sempre presente ali, eh, e|00:00:56.320|00:00:58.509|False
consequentemente ele cobra bastante a|00:00:58.519|00:01:00.869|False
sua diretoria. E o assunto que eu venho|00:01:00.879|00:01:02.790|False
trazer aqui hoje é um assunto pra gente|00:01:02.800|00:01:04.910|False
debater sobre o lado financeiro do Vila|00:01:04.920|00:01:07.990|False
Nova, principalmente o lado financeiro|00:01:08.000|00:01:10.710|False
da atual diretoria do Vila, que é uma|00:01:10.720|00:01:13.230|False
diretoria que tem como seu, eh, primeiro|00:01:13.240|00:01:15.630|False
objetivo limpar o clube, dar aquela|00:01:15.640|00:01:18.590|False
cara, aquela cara digna ao Vila Nova,|00:01:18.600|00:01:21.390|False
uma cara que não era trabalhada nas|00:01:21.400|00:01:24.069|False
últimas gestões. Por que que eu tô|00:01:24.079|00:01:25.830|False
falando isso? Eh, nos últimos anos de|00:01:25.840|00:01:28.710|False
desde 2020 para cá, quando o Hugo Jorge|00:01:28.720|00:01:30.990|False
Bravo assumiu Vila Nova, o Tigrão vem eh|00:01:31.000|00:01:34.550|False
tratando com muita seriedade as suas|00:01:34.560|00:01:37.510|False
dívidas, as suas contas, vem honrando|00:01:37.520|00:01:40.149|False
seus compromissos e essas atitudes elas|00:01:40.159|00:01:43.149|False
não eram tomadas desta forma nas últimas|00:01:43.159|00:01:46.590|False
gestões. Isso daí gerou inúmeros|00:01:46.600|00:01:49.389|False
problemas ao Vila Nova. São contas, são|00:01:49.399|00:01:51.870|False
dívidas, é, lá do passado, de 15 anos|00:01:51.880|00:01:55.270|False
atrás, que estão batendo na porta hoje|00:01:55.280|00:01:57.950|False
do Vila Nova. E querendo ou não, isso|00:01:57.960|00:02:00.190|False
daí prejudica é o rendimento, o|00:02:00.200|00:02:03.469|False
andamento do projeto atual do Vila Nova.|00:02:03.479|00:02:06.469|False
Para você ter noção, hoje o Vila tem um|00:02:06.479|00:02:08.869|False
treinador de ponta que é o Paulo Turra.|00:02:08.879|00:02:11.830|False
Vila Nova paga o salário normalmente do|00:02:11.840|00:02:14.470|False
Paulo Turra, tá eh honrando com as suas|00:02:14.480|00:02:17.070|False
dívidas, tá pagando o Paulo Turra, mas|00:02:17.080|00:02:20.630|False
ao mesmo tempo o Vila também paga o|00:02:20.640|00:02:23.030|False
salário do Eduardo Batista, que hoje|00:02:23.040|00:02:25.830|False
também é um treinador de ponta na Série|00:02:25.840|00:02:27.670|False
B do Campeonato Brasileiro e está no|00:02:27.680|00:02:30.550|False
Novo Horizontino ou no Criciuma, se eu|00:02:30.560|00:02:32.509|False
não me engano. Vocês me perdoem aí é, se|00:02:32.519|00:02:34.869|False
eu não me engano, ele está no Crisciuma,|00:02:34.879|00:02:36.509|False
vocês me perdoem aí a minha breve|00:02:36.519|00:02:39.790|False
ignorância, mas por conta do amarelo dos|00:02:39.800|00:02:42.710|False
dois times e se eu não me engano, ele|00:02:42.720|00:02:45.430|False
está assim no Crisuma. E aí o Vila Nova|00:02:45.440|00:02:48.670|False
paga o salário do Turra e ao mesmo tempo|00:02:48.680|00:02:51.630|False
o salário do técnico Eduardo Batista.|00:02:51.640|00:02:54.350|False
Por que, Igor? Por que que o Vila Nova|00:02:54.360|00:02:56.390|False
tá pagando um salário para o Eduardo|00:02:56.400|00:02:58.630|False
Batista? É o seguinte, em 2019, na|00:02:58.640|00:03:02.229|False
gestão do Escival Martins, que hoje eh|00:03:02.239|00:03:05.630|False
comanda o Goiânia, né, o rebaixado|00:03:05.640|00:03:07.949|False
Goiânia eh no Campeonato Goiano, o|00:03:07.959|00:03:10.710|False
Escival contratou o Eduardo Batista.|00:03:10.720|00:03:13.949|False
Naquela época, o Eduardo Batista|00:03:13.959|00:03:15.710|False
comandou o Vila Nova por 23 jogos e|00:03:15.720|00:03:18.270|False
acabou e tendo o seu contrato quebrado.|00:03:18.280|00:03:21.149|False
E aí o Esival não honrou com eh a dívida|00:03:21.159|00:03:24.910|False
trabalhista, né, ali com o contrato|00:03:24.920|00:03:26.670|False
quebrado do Eduardo Batista. E querendo|00:03:26.680|00:03:29.589|False
ou não, essa dívida acabou chegando ao|00:03:29.599|00:03:31.990|False
Vila Nova nos tempos atuais. O Eduardo|00:03:32.000|00:03:35.110|False
fez um acordo com o presidente Hugo|00:03:35.120|00:03:37.070|False
Jorge Bravo, por isso que o Vila Nova|00:03:37.080|00:03:38.710|False
paga ele de forma mensal. Então o Vila|00:03:38.720|00:03:42.030|False
hoje paga o Paulo Turra e também o|00:03:42.040|00:03:45.750|False
Eduardo Batista. Fora claro as outras|00:03:45.760|00:03:48.429|False
dívidas que o Vila Nova vem pagando,|00:03:48.439|00:03:50.390|False
Tigrão gasta aí e pelo menos R$ 300.000|00:03:50.400|00:03:53.550|False
ao mês e eh e com dívidas passadas.|00:03:53.560|00:03:56.630|False
Então para você torcedor vilanovense que|00:03:56.640|00:03:59.069|False
às vezes fica cobrando investimentos,|00:03:59.079|00:04:01.069|False
fica cobrando uma folha salarial mais|00:04:01.079|00:04:02.789|False
mais eh eh mais eh gorda, né, mais|00:04:02.799|00:04:06.990|False
largas, assim, assim dizendo, você,|00:04:07.000|00:04:09.229|False
torcedor colorado, tem que entender a|00:04:09.239|00:04:11.589|False
realidade financeira do Vila Nova hoje.|00:04:11.599|00:04:14.910|False
presidente Hugo Jorge Bravo tá fazendo|00:04:14.920|00:04:16.390|False
um trabalho de excelência por mesmo com|00:04:16.400|00:04:20.789|False
eh essas essas dívidas, essas|00:04:20.799|00:04:23.469|False
responsabilidades que não seriam eh eh|00:04:23.479|00:04:26.790|False
eh eh dele, ele tá conseguindo fazer um|00:04:26.800|00:04:29.710|False
grande trabalho. Vila todo ano montando|00:04:29.720|00:04:32.110|False
times aí eh com orçamento lá embaixo,|00:04:32.120|00:04:35.070|False
mesmo assim brigando. Então, rapaz, tem|00:04:35.080|00:04:37.790|False
que se bater palma pra gestão Hugo Jorge|00:04:37.800|00:04:41.110|False
Bravo, para os seus vices, para a|00:04:41.120|00:04:43.390|False
direção de futebol do Vila Nova, todo|00:04:43.400|00:04:45.110|False
mundo, né? Todo o departamento de|00:04:45.120|00:04:46.310|False
futebol do Vila tá de parabéns. E isso,|00:04:46.320|00:04:48.870|False
torcedor, não é uma muleta para se|00:04:48.880|00:04:50.870|False
apoiar, mas é um fato importante para|00:04:50.880|00:04:53.430|False
você ficar ciente mais ou menos do que|00:04:53.440|00:04:56.350|False
que tá acontecendo nos bastidores|00:04:56.360|00:04:59.029|False
financeiros do Vila Nova. Fechou?|00:04:59.039|00:05:01.790|False
Qualquer dúvida, comenta aí que eu mesmo|00:05:01.800|00:05:04.070|False
no meu perfil pessoal vou est|00:05:04.080|00:05:05.950|False
respondendo você nos comentários.|00:05:05.960|00:05:08.110|False
Lembrando, curte, comenta e compartilha|00:05:08.120|00:05:11.310|False
esse vídeo. Fechou? Tamos junto. Eu fico|00:05:11.320|00:05:13.950|False
por aqui. Um abraço. Fui.|00:05:13.960|00:05:17.720|False
