Trecho|tempo_inicio|tempo_fim|comeca_locutor
Muito bom dia para você, Tony Rabelo.|00:00:00.399|00:00:02.510|True
Bom dia pro maestro Tim. Bom dia para|00:00:02.520|00:00:04.590|False
toda a nossa equipe, pra nossa audiência|00:00:04.600|00:00:06.430|False
sintonizada aqui nos 90.7 FM da Band|00:00:06.440|00:00:09.629|False
News. Todo mundo ligadinho no nosso|00:00:09.639|00:00:11.549|False
canal do YouTube. Tô chegando com as|00:00:11.559|00:00:13.470|False
informações do dragão em nome de Navesa|00:00:13.480|00:00:15.829|False
Renault na Praça Nova Suíça e Pneus|00:00:15.839|00:00:17.830|False
Express. movendo o seu caminhão|00:00:17.840|00:00:19.670|False
quilômetros à frente. A gente fala aqui|00:00:19.680|00:00:21.670|False
diretamente do CT Dragão do Brasil, onde|00:00:21.680|00:00:24.150|False
o treinador Rafael Lacerda comanda hoje|00:00:24.160|00:00:26.230|False
mais uma atividade na preparação paraa|00:00:26.240|00:00:28.790|False
estreia no Campeonato Goiano no próximo|00:00:28.800|00:00:30.790|False
sábado contra o Anápolis no estádio|00:00:30.800|00:00:33.190|False
Antônio Acioli. Primeiro jogo da|00:00:33.200|00:00:34.990|False
temporada já diante da torcida. Na|00:00:35.000|00:00:37.869|False
atividade de hoje, a Rafaela Lacerda|00:00:37.879|00:00:39.709|False
promoveu uma mudança importante no|00:00:39.719|00:00:41.389|False
sistema defensivo. Zagueiro Natan|00:00:41.399|00:00:43.549|False
Felipe, recém-chegado junto ao|00:00:43.559|00:00:45.350|False
Juventude, assumiu a posição titular na|00:00:45.360|00:00:47.869|False
atividade de hoje ao lado do Adriano|00:00:47.879|00:00:49.910|False
Martins. Zagueiro Tito começou a|00:00:49.920|00:00:51.830|False
atividade de hoje no banco de reservas,|00:00:51.840|00:00:54.110|False
então poderemos ter novidades na|00:00:54.120|00:00:56.069|False
formação do Dragão. Ainda tem a|00:00:56.079|00:00:57.910|False
atividade de amanhã para aí sim o Rafael|00:00:57.920|00:01:00.150|False
Lacerda definir os 11 titulares. Daqui a|00:01:00.160|00:01:02.509|False
pouco eu trago uma provável escalação do|00:01:02.519|00:01:04.630|False
Atlético pro duelo contra o Anápolis. O|00:01:04.640|00:01:07.390|False
meia Giovani tava realizando um trabalho|00:01:07.400|00:01:09.630|False
ali de controle de carga. Ele que vinha|00:01:09.640|00:01:11.950|False
trabalhando, vinha treinando ali,|00:01:11.960|00:01:13.550|False
fazendo o coletivo. No entanto, ontem e|00:01:13.560|00:01:15.630|False
hoje vem realizando esse trabalho de|00:01:15.640|00:01:17.190|False
controle de carga, correndo em volta do|00:01:17.200|00:01:18.910|False
gramado. No entanto, não deve ser|00:01:18.920|00:01:20.749|False
problema para essa estreia. Fato é que|00:01:20.759|00:01:22.670|False
ele vem fazendo muito por conta da|00:01:22.680|00:01:24.390|False
experiência dele, né, esse trabalho de|00:01:24.400|00:01:26.630|False
início de temporada para que ele não|00:01:26.640|00:01:28.149|False
tenha nenhum tipo de lesão durante os|00:01:28.159|00:01:30.230|False
jogos. E agora eu trago um convidado|00:01:30.240|00:01:32.429|False
especial, presidente Adson Batista,|00:01:32.439|00:01:34.469|False
ainda trazendo, repercutindo a coletiva|00:01:34.479|00:01:37.030|False
concedida por ele aqui mesmo no CT. Ele|00:01:37.040|00:01:39.389|False
falou sobre o elenco para essa temporada|00:01:39.399|00:01:41.310|False
e pros jogadores que for sobre os|00:01:41.320|00:01:42.830|False
jogadores que foram contratados.|00:01:42.840|00:01:44.389|False
Não está fechado. Vamos de trás paraa|00:01:44.399|00:01:46.109|True
frente. Não está fechado. Eu espero até|00:01:46.119|00:01:48.469|False
melhorá-lo até principalmente a Série B.|00:01:48.479|00:01:51.870|False
Mas já é um elenco interessante, elenco|00:01:51.880|00:01:54.789|False
muito mais barato, porque nós tivemos|00:01:54.799|00:01:56.389|False
que administrar alguns contratos que|00:01:56.399|00:01:58.109|False
veio na Série A e alguns jogadores muito|00:01:58.119|00:02:00.749|False
desmotivados para desenvolver o que nós|00:02:00.759|00:02:02.990|False
